,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
148,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.79625,0.13992743655195003,0.21875
149,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.80125,0.1437173876049798,0.20625
150,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.84,0.1287924687239126,0.1925
151,ENTP,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTP']",0.795,0.1515750639122412,0.20875
152,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.85,0.1286953767623375,0.165
153,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.835,0.13905933985173383,0.155
154,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.83875,0.14174691354664481,0.17875
155,ENTJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ENTJ']",0.9025,0.10395311443145897,0.10375
156,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.8225,0.12397076268217437,0.1725
157,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.7925,0.1252746981636755,0.22125
158,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.83,0.1408900280360537,0.205
159,INTP,"['ESFJ', 'ESFJ', 'ISFJ', 'INTP']",0.83875,0.12536820769238108,0.18625
160,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.79375,0.14934753931685651,0.19625
161,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.82375,0.12881066531929722,0.1775
162,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.84125,0.12228935971702526,0.18375
163,INTJ,"['ESFJ', 'ESFJ', 'ISFJ', 'INTJ']",0.8825,0.11155155758661553,0.15
164,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.81875,0.13390178303517844,0.1875
165,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.82,0.13028814220795382,0.195
166,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.8325,0.1360376786041279,0.18625
167,ESFP,"['ESFJ', 'ESFJ', 'ISFJ', 'ESFP']",0.76,0.14861863947701848,0.2475
168,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.7925,0.14055692796870597,0.1975
169,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.81875,0.14829763147130842,0.185
170,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.81625,0.13858097813192113,0.2375
171,ESTP,"['ESFJ', 'ESFJ', 'ISFJ', 'ESTP']",0.7625,0.14947825928876748,0.24625
172,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.83125,0.14724023736737185,0.17
173,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.835,0.13448977656312766,0.175
174,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.83625,0.13658216391608385,0.1975
175,ISFP,"['ESFJ', 'ESFJ', 'ISFJ', 'ISFP']",0.78375,0.15192000362032645,0.22
176,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.8475,0.13759087905817013,0.1525
177,ESFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.8225,0.13599172768959145,0.18375
178,ISFJ,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.8,0.1457737973711325,0.2275
179,ISTP,"['ESFJ', 'ESFJ', 'ISFJ', 'ISTP']",0.7575,0.16184483309639514,0.25875
180,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.85,0.1286953767623375,0.155
181,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.83,0.1192686044187656,0.1625
182,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.82625,0.13681077260216024,0.1975
183,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ISTJ']",0.8225,0.12646639869941737,0.20375
184,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.84,0.14903858560788877,0.16
185,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.825,0.14684175155588414,0.18
186,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.79125,0.17052767370723146,0.22125
187,ENFP,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFP']",0.8525,0.12915591353089487,0.16875
188,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.7975,0.16180621125284406,0.2125
189,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.8,0.16488632447841148,0.21
190,ISTJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.8125,0.14842927608797396,0.20375
191,ENFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'ENFJ']",0.8625,0.13635890143294643,0.15375
192,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.80875,0.1504732119016538,0.18
193,ESFJ,"['ESFJ', 'ESFJ', 'ISTJ', 'INFP']",0.8125,0.1375,0.17625
