,type,studygroup,avg_accuracy,std_accuracy,avg_adaptation
3629,ESTJ,"['ESTJ', 'ESTJ', 'ENTP', 'ISTP']",0.8195,0.13525808663440422,0.191625
3630,ENTP,"['ESTJ', 'ESTJ', 'ENTP', 'ISTP']",0.820875,0.13758582548722087,0.191125
3631,ISTP,"['ESTJ', 'ESTJ', 'ENTP', 'ISTP']",0.756125,0.15635491477724645,0.263375
3632,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ENTJ']",0.814125,0.14522778444567694,0.18675
3633,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ENTJ']",0.812875,0.1425214347914025,0.19425
3634,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ENTJ']",0.8795,0.12226405849635452,0.1355
3635,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ENTJ']",0.88325,0.11961161105845869,0.136375
3636,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTP']",0.821,0.13643771472727034,0.182
3637,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTP']",0.812625,0.14097866638254175,0.188375
3638,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTP']",0.879,0.11982904489313098,0.1375
3639,INTP,"['ESTJ', 'ESTJ', 'ENTJ', 'INTP']",0.822375,0.13496289999477634,0.198875
3640,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTJ']",0.811125,0.13974748432440565,0.185875
3641,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTJ']",0.821125,0.14004681137034145,0.18375
3642,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTJ']",0.889,0.11547835294980614,0.121
3643,INTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'INTJ']",0.881375,0.12044182983913852,0.145625
3644,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ESFP']",0.821375,0.1380080953241512,0.189625
3645,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ESFP']",0.817375,0.13729979743247983,0.19475
3646,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ESFP']",0.874625,0.11930731065194622,0.148375
3647,ESFP,"['ESTJ', 'ESTJ', 'ENTJ', 'ESFP']",0.7565,0.15598958298553145,0.2505
3648,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ESTP']",0.819625,0.1382225899590946,0.192625
3649,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ESTP']",0.8185,0.13576726409558382,0.191625
3650,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ESTP']",0.8805,0.11511298797268708,0.14475
3651,ESTP,"['ESTJ', 'ESTJ', 'ENTJ', 'ESTP']",0.753875,0.1596891022424511,0.248125
3652,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ISFP']",0.816875,0.14289282478487156,0.1865
3653,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ISFP']",0.816,0.13892533966127274,0.185125
3654,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ISFP']",0.884125,0.11710512104515326,0.1395
3655,ISFP,"['ESTJ', 'ESTJ', 'ENTJ', 'ISFP']",0.7675,0.15054069217324598,0.254
3656,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ISTP']",0.831375,0.13631300148921965,0.172875
3657,ESTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ISTP']",0.815125,0.14499779093144832,0.194875
3658,ENTJ,"['ESTJ', 'ESTJ', 'ENTJ', 'ISTP']",0.878625,0.11819997620558137,0.143125
3659,ISTP,"['ESTJ', 'ESTJ', 'ENTJ', 'ISTP']",0.762,0.15455500638931113,0.252625
3660,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'INTP']",0.8225,0.14040121082098972,0.178875
3661,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'INTP']",0.822125,0.14153571766518866,0.180375
3662,INTP,"['ESTJ', 'ESTJ', 'INTP', 'INTP']",0.810125,0.1390615308954996,0.21875
3663,INTP,"['ESTJ', 'ESTJ', 'INTP', 'INTP']",0.81925,0.14258133643643547,0.2025
3664,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'INTJ']",0.8165,0.14235606766133996,0.179875
3665,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'INTJ']",0.8145,0.13850451256186563,0.183125
3666,INTP,"['ESTJ', 'ESTJ', 'INTP', 'INTJ']",0.819375,0.13936098584252338,0.200375
3667,INTJ,"['ESTJ', 'ESTJ', 'INTP', 'INTJ']",0.88,0.11768602295939819,0.155
3668,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'ESFP']",0.82225,0.13462424558748695,0.191125
3669,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'ESFP']",0.819375,0.13857393108012778,0.195375
3670,INTP,"['ESTJ', 'ESTJ', 'INTP', 'ESFP']",0.818125,0.14208134773783646,0.212125
3671,ESFP,"['ESTJ', 'ESTJ', 'INTP', 'ESFP']",0.755875,0.15536202681157324,0.2445
3672,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'ESTP']",0.823,0.13398600673204647,0.192625
3673,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'ESTP']",0.825125,0.1332173388677315,0.184875
3674,INTP,"['ESTJ', 'ESTJ', 'INTP', 'ESTP']",0.816875,0.13957384918028162,0.21725
3675,ESTP,"['ESTJ', 'ESTJ', 'INTP', 'ESTP']",0.758,0.15591985120567556,0.241625
3676,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'ISFP']",0.82,0.1366107609231425,0.1815
3677,ESTJ,"['ESTJ', 'ESTJ', 'INTP', 'ISFP']",0.816,0.13608453255238084,0.1835
3678,INTP,"['ESTJ', 'ESTJ', 'INTP', 'ISFP']",0.81975,0.13889271939162254,0.2095
3679,ISFP,"['ESTJ', 'ESTJ', 'INTP', 'ISFP']",0.75675,0.15477221165312588,0.266125
